name,kilometers_driven,fuel_type,transmission,price
2014 Hyundai Xcent S 1.2,"55,061 km",Petrol,Manual,₹3.86 Lakh
2015 Hyundai Elite i20 SPORTZ 1.2,"49,788 km",Petrol,Manual,₹4.50 Lakh
2016 Hyundai Elite i20 ASTA 1.2 (O),"27,261 km",Petrol,Manual,₹5.43 Lakh
2015 Hyundai Elite i20 MAGNA 1.2,"30,079 km",Petrol,Manual,₹4.44 Lakh
2016 Hyundai Elite i20 SPORTZ 1.2,"21,464 km",Petrol,Manual,₹5.68 Lakh
2018 Hyundai Elite i20 ASTA 1.2 (O),"56,224 km",Petrol,Manual,₹6.88 Lakh
2016 Hyundai Creta SX PLUS AT 1.6 PETROL,"83,626 km",Petrol,Automatic,₹8.54 Lakh
2015 Hyundai Grand i10 ASTA AT 1.2 KAPPA VTVT,"62,072 km",Petrol,Automatic,₹4.16 Lakh
2015 Hyundai Elite i20 SPORTZ 1.2 (O),"51,020 km",Petrol,Manual,₹4.86 Lakh
2018 Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,"32,749 km",CNG,Manual,₹5.26 Lakh
2016 Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,"59,893 km",Petrol,Manual,₹3.72 Lakh
2017 Hyundai Elite i20 SPORTZ 1.2,"44,558 km",Petrol,Manual,₹5.64 Lakh
2021 Hyundai VENUE SX 1.0 TURBO IMT,"9,340 km",Petrol,Manual,₹9.86 Lakh
2016 Hyundai Elite i20 MAGNA 1.2,"38,566 km",Petrol,Manual,₹4.88 Lakh
2019 Hyundai GRAND I10 NIOS SPORTZ 1.2 KAPPA VTVT DUAL TONE,"30,977 km",Petrol,Manual,₹5.98 Lakh
2014 Hyundai Eon MAGNA +,"40,750 km",Petrol,Manual,₹2.24 Lakh
2019 Hyundai VENUE SX 1.0 (O) TURBO,"45,750 km",Petrol,Manual,₹8.11 Lakh
2021 Hyundai VENUE S 1.0 TURBO IMT,"49,880 km",Petrol,Manual,₹8.44 Lakh
2019 Hyundai VENUE SX 1.0 TURBO,"34,899 km",Petrol,Manual,₹8.87 Lakh
2018 Hyundai NEW SANTRO MAGNA CNG,"59,736 km",CNG,Manual,₹4.44 Lakh
